Depth,Well,GR,RT,RHOB,NPHI,Facies
3699.5,15,184.36,1.098,2.2141,0.3384,UN
3700,15,205.124,1.557,2.2131,0.6501,SH
3700.5,15,186.647,10.335,2.2171,0.4611,SH
3701,15,185.251,408.976,2.189,0.4541,SH
3701.5,15,191.861,14.89,2.2231,0.396,SH
3702,15,205.05,5.23,2.2171,0.6156,SH
3702.5,15,215.581,0.946,2.1502,0.4127,SH
3703,15,355.111,0.11,2.5479,0.5177,SH
3703.5,15,1567.59,0.094,2.6976,0.423,SH
3704,15,407.082,0.975,2.564,0.2924,SH
3704.5,15,325.097,2.268,2.587,0.3164,SH
3705,15,252.629,3.002,2.3088,0.3213,SH
3705.5,15,183.005,5.019,2.417,0.3803,SH
3706,15,98.847,11.926,2.4803,0.2391,UN
3706.5,15,120.942,4.524,2.4623,0.2963,SH
3707,15,121.441,2.614,2.458,0.3209,SH
3707.5,15,118.802,2.592,2.401,0.3542,SH
3708,15,111.521,2.635,2.407,0.4196,SH
3708.5,15,111.989,4.141,2.4609,0.3707,SH
3709,15,106.349,3.856,2.4401,0.3527,SH
3709.5,15,111.379,3.735,2.4789,0.3521,SH
3710,15,112.923,2.379,2.4729,0.3694,SH
3710.5,15,121.553,2.178,2.5019,0.2722,SH
3711,15,111.555,2.479,2.4431,0.3097,SH
3711.5,15,115.233,2.248,2.4541,0.3398,SH
3712,15,119.435,2.563,2.453,0.3469,SH
3712.5,15,118.422,2.578,2.474,0.3808,SH
3713,15,117.68,3.158,2.4768,0.3079,SH
3713.5,15,100.007,3.178,2.5,0.3035,SH
3714,15,106.555,2.813,2.4411,0.2875,SH
3714.5,15,107.188,4.273,2.3862,0.467,SH
3715,15,111.805,3.612,2.4298,0.3596,SH
3715.5,15,115.666,7.212,2.3951,0.3222,SH
3716,15,58.328,11.687,2.6431,0.2759,SS
3716.5,15,44.294,5.683,2.3971,0.2181,SS
3717,15,106.961,4.193,2.41,0.361,SH
3717.5,15,135.31,2.559,2.4201,0.3431,SH
3718,15,111.72,2.328,2.4401,0.3233,SH
3718.5,15,124.581,2.107,2.46,0.3651,SH
3719,15,117.156,1.963,2.5278,0.3106,SH
3719.5,15,101.9466,1.9658,2.4405,0.3124,SH
3720,15,111.05,2.08,2.4849,0.3936,SH
3720.5,15,113.944,2.012,2.4042,0.3115,SH
3721,15,108.49,1.97,2.448,0.3277,SH
3721.5,15,104.848,1.769,2.476,0.2826,SH
3722,15,112.125,1.959,2.4919,0.356,SH
3722.5,15,117.288,2.209,2.5486,0.3483,SH
3723,15,109.65,1.309,2.4522,0.3512,SH
3723.5,15,114.593,2.87,2.4989,0.342,SH
3724,15,110.143,1.601,2.4572,0.2746,SH
3724.5,15,107.645,1.632,2.4691,0.3213,SH
3725,15,104.965,1.68,2.475,0.376,SH
3725.5,15,112.024,1.596,2.4221,0.2231,UN
3726,15,108.772,1.613,2.4491,0.3748,SH
3726.5,15,115.624,1.607,2.4631,0.3263,SH
3727,15,116.807,1.688,2.489,0.299,SH
3727.5,15,112.672,1.717,2.4711,0.3316,SH
3728,15,115.338,1.739,2.4888,0.3728,SH
3728.5,15,106.839,1.742,2.5269,0.3045,SH
3729,15,106.481,1.725,2.465,0.3701,SH
3729.5,15,108.244,1.733,2.4491,0.3592,SH
3730,15,106.75,1.684,2.4151,0.3646,SH
3730.5,15,121.115,1.754,2.3892,0.3713,SH
3731,15,115.954,2.119,2.4281,0.3552,SH
3731.5,15,111.317,2.554,2.6146,0.3385,SH
3732,15,106.16,2.054,2.4965,0.422,SH
3732.5,15,110.907,1.998,2.435,0.3352,SH
3733,15,112.611,1.89,2.4679,0.3788,SH
3733.5,15,104.528,1.773,2.447,0.3158,SH
3734,15,102.797,1.624,2.449,0.3301,SH
3734.5,15,97.061,1.681,2.4701,0.3572,SH
3735,15,105.335,1.795,2.466,0.3422,SH
3735.5,15,106.038,1.793,2.45,0.2756,SH
3736,15,99.638,1.675,2.4649,0.3102,SH
3736.5,15,97.442,1.683,2.4849,0.3305,SH
3737,15,104.662,1.646,2.461,0.3207,SH
3737.5,15,104.505,1.697,2.433,0.3074,SH
3738,15,104.137,1.577,2.4438,0.3371,SH
3738.5,15,93.341,1.465,2.4749,0.3425,SH
3739,15,106.423,1.809,2.452,0.3182,SH
3739.5,15,104.959,1.877,2.457,0.3202,SH
3740,15,104.468,1.88,2.455,0.3181,SH
3740.5,15,100.313,1.917,2.469,0.3079,SH
3741,15,98.452,2.132,2.4784,0.3296,SH
3741.5,15,94.637,2.292,2.4551,0.2752,SH
3742,15,95.965,2.066,2.4699,0.2984,SH
3742.5,15,96.786,2.039,2.4292,0.3605,SH
3743,15,102.956,1.824,2.4409,0.328,SH
3743.5,15,96.714,1.828,2.4201,0.393,SH
3744,15,104.706,1.835,2.442,0.3411,SH
3744.5,15,102.781,1.806,2.457,0.3041,SH
3745,15,105.04,1.782,2.432,0.3335,SH
3745.5,15,100.065,1.75,2.427,0.3027,SH
3746,15,102.213,1.772,2.418,0.3484,SH
3746.5,15,95.892,1.785,2.46,0.2846,SH
3747,15,100.736,1.758,2.431,0.3038,SH
3747.5,15,103.643,1.787,2.4281,0.3283,SH
3748,15,101.8793,1.776,2.4381,0.3394,SH
3748.5,15,99.197,1.725,2.4381,0.3169,SH
3749,15,101.132,1.696,2.471,0.3192,SH
3749.5,15,98.35,1.771,2.458,0.3147,SH
3750,15,96.82,1.873,2.4421,0.3386,SH
3750.5,15,98.931,1.721,2.448,0.2984,SH
3751,15,98.178,1.726,2.4451,0.2907,SH
3751.5,15,94.243,1.759,2.451,0.3238,SH
3752,15,99.582,1.802,2.4889,0.3237,SH
3752.5,15,14.514,1.806,2.47,0.2932,SS
3753,15,97.062,1.79,2.461,0.2822,SH
3753.5,15,98.618,1.817,2.472,0.2872,SH
3754,15,93.502,1.765,2.444,0.27,SH
3754.5,15,97.477,1.725,2.4579,0.2448,SH
3755,15,94.849,1.759,2.448,0.3272,SH
3755.5,15,102.356,1.846,2.4679,0.2517,SH
3756,15,97.812,1.788,2.4321,0.3189,SH
3756.5,15,98.72,1.756,2.471,0.345,SH
3757,15,99.595,1.722,2.454,0.3499,SH
3757.5,15,97.185,1.803,2.4501,0.2824,SH
3758,15,90.628,1.862,2.452,0.2717,SH
3758.5,15,97.201,1.976,2.443,0.2892,SH
3759,15,96.106,2.01,2.5091,0.2906,SH
3759.5,15,99.653,1.911,2.4663,0.2922,SH
3760,15,92.487,1.708,2.424,0.2882,SH
3760.5,15,87.227,2.179,2.44,0.2649,SH
3761,15,89.833,2.184,2.4552,0.2651,SH
3761.5,15,100.311,2.128,2.4679,0.2533,SH
3762,15,93.78,2.067,2.4211,0.2449,SH
3762.5,15,92.562,2.692,2.439,0.2932,SH
3763,15,83.147,2.169,2.5001,0.2493,SH
3763.5,15,87.879,2.102,2.4949,0.2423,SH
3764,15,87.545,2.04,2.507,0.259,SH
3764.5,15,83.211,1.908,2.5283,0.2578,SH
3765,15,81.548,1.926,2.5656,0.2522,SH
3765.5,15,81.335,1.881,2.5031,0.2637,SH
3766,15,84.455,1.837,2.502,0.2379,SH
3766.5,15,81.954,1.844,2.529,0.2848,SH
3767,15,79.509,1.816,2.4981,0.235,SH
3767.5,15,75.225,1.886,2.5788,0.2645,SH
3768,15,75.593,1.891,2.5451,0.237,SH
3768.5,15,82.066,1.852,2.5299,0.2456,SH
3769,15,82.057,1.858,2.513,0.2494,SH
3769.5,15,74.605,2.053,2.6216,0.2782,SH
3770,15,74.221,2.046,2.5371,0.2359,SH
3770.5,15,80.5,1.854,2.513,0.245,SH
3771,15,82.339,1.842,2.486,0.2703,SH
3771.5,15,79.506,1.853,2.488,0.2624,SH
3772,15,81.579,1.892,2.5059,0.2732,SH
3772.5,15,78.609,1.972,2.4671,0.2437,SH
3773,15,80.071,1.896,2.5122,0.2829,SH
3773.5,15,83.028,1.767,2.494,0.2794,SH
3774,15,81.337,1.823,2.514,0.2969,SH
3774.5,15,90.134,1.789,2.504,0.3026,SH
3775,15,82.184,2.09,2.5461,0.2699,SH
3775.5,15,103.916,1.813,2.4871,0.3191,SH
3776,15,85.904,1.809,2.5159,0.247,SH
3776.5,15,87.41,1.736,2.4859,0.2934,SH
3777,15,86.993,1.746,2.502,0.2716,SH
3777.5,15,86.329,1.742,2.477,0.2877,SH
3778,15,85.64,1.719,2.524,0.2665,SH
3778.5,15,58.245,1.952,2.692,0.245,SH
3779,15,73.636,1.936,2.5169,0.2376,SH
3779.5,15,78.023,1.791,2.5278,0.3064,SH
3780,15,79.897,1.757,2.519,0.2855,SH
3780.5,15,77.291,1.819,2.4981,0.2609,SH
3781,15,77.832,1.83,2.49,0.2606,SH
3781.5,15,27.321,1.828,2.5278,0.2879,SS
3782.5,15,81.154,1.639,2.503,0.2823,SH
3783,15,89.173,1.714,2.4911,0.2636,SH
3783.5,15,80.709,1.836,2.5189,0.2117,SH
3784,15,75.262,1.922,2.5182,0.2709,SH
3784.5,15,86.091,1.754,2.4939,0.2725,SH
3785,15,78.105,1.565,2.5109,0.2549,SH
3785.5,15,85.019,1.616,2.6235,0.2354,SH
3786,15,61.3,2.214,2.4308,0.2255,SH
3786.5,15,79.265,1.883,2.5098,0.2709,SH
3787,15,80.53,1.774,2.5299,0.2672,SH
3787.5,15,82.542,1.853,2.521,0.2826,SH
3788,15,89.563,1.895,2.5539,0.2526,SH
3788.5,15,84.872,1.861,2.4831,0.2892,SH
3789,15,84.931,1.714,2.461,0.2864,SH
3789.5,15,88.776,1.768,2.4991,0.2764,SH
3790.5,15,64.088,2.281,2.7596,0.249,SH
3791,15,59.629,1.69,2.5792,0.209,SH
3791.5,15,82.828,1.681,2.5377,0.3045,SH
3792,15,66.767,1.812,2.5183,0.2889,SH
3792.5,15,90.6173,1.6549,2.5059,0.2658,SH
3793,15,82.011,1.705,2.475,0.3101,SH
3793.5,15,78.552,1.736,2.499,0.2819,SH
3794,15,79.742,1.74,2.6295,0.267,SH
3794.5,15,71.809,1.611,2.5495,0.304,SH
3795,15,74.366,1.658,2.5231,0.2875,SH
3795.5,15,76.024,1.627,2.4909,0.2821,SH
3796,15,59.71,1.56,2.4948,0.2312,SH
3796.5,15,42.76,1.487,2.4079,0.2009,UN
3797,15,35.926,1.46,2.5148,0.2489,SS
3797.5,15,34.175,1.58,2.4002,0.2083,SS
3798,15,33.078,1.467,2.4131,0.2041,SS
3798.5,15,34.306,1.515,2.6373,0.2159,SS
3799,15,28.872,1.835,2.7028,0.1824,CB
3799.5,15,28.069,2.032,2.4882,0.184,CB
3800,15,25.304,2.037,2.4631,0.1582,CB
3800.5,15,27.389,1.94,2.474,0.1602,CB
3801,15,25.114,1.867,2.6047,0.1955,CB
3801.5,15,32.705,1.628,2.4423,0.2561,SS
3802,15,38.499,1.439,2.405,0.1942,SS
3802.5,15,40.109,1.51,2.4348,0.1963,UN
3803,15,46.663,1.658,2.4758,0.1968,SH
3803.5,15,51.987,1.726,2.4651,0.2252,SH
3804,15,66.129,1.801,2.496,0.2789,SH
3804.5,15,58.662,1.769,2.5251,0.3099,SH
3805,15,62.218,1.633,2.481,0.293,SH
3805.5,15,54.75,1.511,2.5994,0.2392,SH
3806,15,62.774,1.598,2.523,0.2384,SH
3806.5,15,42.823,1.722,2.6816,0.2474,SH
3807,15,38.592,1.731,2.5863,0.2201,SS
3807.5,15,29.207,1.915,2.6891,0.1423,CB
3808,15,40.964,1.707,2.4732,0.1953,UN
3808.5,15,43.016,1.213,2.5178,0.216,SH
3809,15,34.741,1.514,2.8166,0.2417,CB
3809.5,15,27.729,1.386,2.4095,0.245,SS
3810,15,32.705,1.245,2.4051,0.2362,SS
3810.5,15,40.249,1.186,2.4089,0.2078,UN
3811,15,36.821,1.122,2.6241,0.2024,SS
3811.5,15,41.148,1.099,2.427,0.2097,UN
3812,15,37.75,0.927,2.4677,0.2059,UN
3812.5,15,36.328,1.039,2.4182,0.2062,UN
3813,15,34.175,1.132,2.4051,0.2039,SS
3813.5,15,32.606,1.087,2.5916,0.2865,SS
3814,15,33.047,1.21,2.5077,0.2741,SS
3814.5,15,53.998,1.621,2.7622,0.3675,SH
3815,15,59.005,1.648,2.8282,0.4124,SH
3815.5,15,40.968,1.591,2.8506,0.3554,SH
3816,15,41.476,1.711,2.7113,0.4234,SH
3816.5,15,42.686,1.469,2.4892,0.3661,SH
3817,15,35.405,1.618,2.6034,0.3213,SS
3817.5,15,34.316,1.505,2.5759,0.2821,SS
3818,15,40.051,1.38,2.5297,0.3081,CB
3818.5,15,46.92,1.342,2.5609,0.2674,SH
3819,15,54.404,1.487,2.5164,0.3331,SH
3819.5,15,58.972,1.977,2.504,0.3524,SH
3820,15,64.071,2.127,2.6515,0.3243,SH
3820.5,15,48.885,1.931,2.6808,0.2741,SH
3821,15,30.4525,2.1244,2.627,0.1899,SS
3821.5,15,26.696,5.477,2.342,0.2324,SS
3822,15,23.378,11.228,2.495,0.1564,CB
3822.5,15,25.277,9.487,2.4493,0.1888,CB
3823,15,26.494,9.564,2.3889,0.1991,SS
3823.5,15,27.186,11.626,2.377,0.166,SS
3824,15,25.593,11.274,2.4569,0.1791,SS
3824.5,15,27.998,10.292,2.414,0.1628,CB
3825,15,26.656,11.618,2.3761,0.173,CB
3825.5,15,24.797,14.595,2.37,0.1805,SS
3826,15,23.442,13.317,2.316,0.1933,SS
3826.5,15,26.326,13.512,2.2921,0.2002,SS
3827,15,21.977,14.499,2.34,0.1731,SS
3827.5,15,21.657,22.975,2.2302,0.2001,SS
3828,15,22.276,17.899,2.229,0.1837,SS
3828.5,15,18.433,32.528,2.191,0.1839,SS
3829,15,20.743,7.01,2.2721,0.2514,SS
3829.5,15,19.133,21.39,2.3358,0.1665,SS
3830,15,14.463,44.258,2.5125,0.16,CB
3830.5,15,16.902,31.062,2.4071,0.1763,CB
3831,15,20.977,18.632,2.2302,0.226,CB
3831.5,15,21.562,37.181,2.2121,0.1846,CB
3832,15,28.705,22.069,2.221,0.2121,SS
3832.5,15,28.935,18.812,2.1749,0.2507,SS
3833,15,22.653,22.764,2.161,0.2252,SS
3833.5,15,24.978,21.292,2.1641,0.2442,SS
3834,15,23.964,22.367,2.178,0.2261,SS
3834.5,15,26.26,50.299,2.167,0.2347,SS
3835,15,30.757,26.566,2.176,0.2372,SS
3835.5,15,32.566,9.821,2.2568,0.2304,SS
3836,15,50.277,5.586,2.6088,0.1935,SH
3836.5,15,22.011,9.915,2.3513,0.17,CB
3837,15,26.416,11.887,2.2952,0.1962,CB
3837.5,15,28.984,10.053,2.3668,0.2006,SS
3838,15,22.256,11.895,2.3421,0.1822,SS
3838.5,15,24.518,11.558,2.409,0.1601,SS
3839,15,22.444,18.655,2.48,0.1479,CB
3839.5,15,22.696,14.4,2.3412,0.1517,CB
3840,15,23.927,17.51,2.3149,0.1707,CB
3840.5,15,16.742,23.789,2.3649,0.1529,CB
3841,15,19.29,23.794,2.3401,0.1399,CB
3841.5,15,17.139,24.691,2.2199,0.1306,SS
3842,15,25.536,13.608,2.3099,0.2064,SS
3842.5,15,28.973,10.539,2.235,0.2128,SS
3843,15,27.979,7.46,2.3351,0.1999,SS
3843.5,15,27.078,6.476,2.3514,0.2086,SS
3844,15,30.718,8.639,2.2341,0.2562,SS
3844.5,15,31.813,11.454,2.1731,0.2461,SS
3845,15,30.47,13.535,2.191,0.2532,SS
3845.5,15,34.61,14.181,2.2279,0.2449,SS
3846,15,33.001,12.456,2.1781,0.2396,SS
3846.5,15,32.736,13.83,2.185,0.2039,SS
3847,15,35.144,13.774,2.199,0.2279,SS
3847.5,15,36.595,16.343,2.5248,0.1838,CB
3848,15,30.969,18.765,2.6499,0.1146,CB
3848.5,15,33.238,17.971,2.3106,0.1897,CB
3849,15,37.107,16.681,2.208,0.2051,CB
3849.5,15,31.541,15.887,2.2089,0.2262,SS
3850,15,33.987,14.494,2.6448,0.1814,SS
3850.5,15,38.214,14.698,2.2602,0.199,SS
3851,15,34.86,12.763,2.207,0.2429,SS
3851.5,15,41.515,11.682,2.238,0.2207,SS
3852,15,40.295,18.717,2.3038,0.2177,SS
3852.5,15,35.373,21.776,2.2561,0.1973,SS
3853,15,37.539,9.417,2.2769,0.2118,SS
3853.5,15,39.493,5.325,2.4037,0.233,SS
3854,15,32.958,15.96,2.6975,0.1521,CB
3854.5,15,35.938,14.168,2.713,0.0746,CB
3855,15,61.638,10.516,2.3588,0.1099,CB
3855.5,15,46.674,17.67,2.6338,0.0927,CB
3856,15,32.446,19.355,2.5828,0.0906,CB
3856.5,15,39.871,13.715,2.3262,0.1791,CB
3857,15,38.481,16.482,2.27,0.2261,SS
3857.5,15,31.562,14.217,2.2919,0.2259,SS
3858,15,30.211,27.637,2.307,0.1938,SS
3858.5,15,30.615,15.572,2.328,0.1968,SS
3859,15,27.368,38.479,2.354,0.1675,SS
3859.5,15,35.543,22.822,2.311,0.1984,SS
3860,15,20.363,77.515,2.2031,0.1697,SS
3860.5,15,13.869,107.512,2.223,0.1616,SS
3861,15,15.331,65.189,2.234,0.1548,SS
3861.5,15,14.005,65.793,2.218,0.1803,SS
3862,15,15.52,78.394,2.1829,0.1792,SS
3862.5,15,18.047,75.873,2.1601,0.1784,SS
3863,15,16.71,69.97,2.1759,0.1839,SS
3863.5,15,16.073,79.097,2.173,0.1747,SS
3864,15,13.51,92.207,2.179,0.1604,SS
3864.5,15,17.436,102.935,2.173,0.16,SS
3865,15,12.807,105.878,2.176,0.1817,SS
3865.5,15,14.99,122.5497,2.1731,0.1621,SS
3866,15,14.588,112.295,2.1561,0.1749,SS
3866.5,15,18.204,95.827,2.163,0.172,SS
3867,15,22.963,89.021,2.1741,0.193,SS
3867.5,15,19.447,112.051,2.2139,0.1601,SS
3868,15,16.428,62.27,2.2131,0.1818,SS
3868.5,15,17.058,111.692,2.205,0.1602,SS
3869,15,13.769,151.638,2.1889,0.1749,SS
3869.5,15,13.936,102.153,2.181,0.1717,SS
3870,15,12.213,89.396,2.167,0.1796,SS
3870.5,15,12.761,115.43,2.1699,0.1407,SS
3871,15,15.184,85.49,2.1519,0.1468,SS
3871.5,15,13.51,67.787,2.1311,0.1863,SS
3872,15,13.072,70.331,2.153,0.1724,SS
3872.5,15,12.119,90.053,2.176,0.1666,SS
3873,15,14.122,76.388,2.212,0.1472,SS
3873.5,15,17.458,76.574,2.2011,0.1552,SS
3874,15,18.195,71.293,2.241,0.1554,SS
3874.5,15,22.196,45.15,2.2371,0.1681,SS
3875,15,33.813,18.675,2.3299,0.1891,SS
3875.5,15,39.971,13.01,2.3556,0.1727,CB
3876,15,40.443,13.571,2.532,0.1154,CB
3876.5,15,35.224,22.756,2.6399,0.0926,CB
3877,15,32.474,33.628,2.4138,0.1538,CB
3877.5,15,32.115,62.652,2.3946,0.2118,CB
3878,15,29.593,10.396,2.4957,0.2182,CB
3878.5,15,29.897,80.806,2.3549,0.173,CB
3879,15,29.123,461.17,2.4269,0.1515,CB
3879.5,15,31.343,23.602,2.6254,0.1067,CB
3880,15,35.223,16.35,2.436,0.2116,CB
3880.5,15,40.47,14.627,2.2571,0.2171,SS
3881,15,37.924,15.881,2.237,0.1959,SS
3881.5,15,32.297,15.924,2.235,0.2281,SS
3882,15,33.921,15.416,2.2739,0.201,SS
3882.5,15,37.475,13.965,2.278,0.2058,SS
3883,15,45.366,12.775,2.2561,0.2017,SS
3883.5,15,50.47,12.815,2.2639,0.2231,SS
3884,15,39.151,15.016,2.3089,0.2043,SS
3884.5,15,29.979,17.243,2.4139,0.169,SS
3885,15,34.207,17.83,2.3122,0.1834,SS
3885.5,15,36.342,13.211,2.313,0.1808,SS
3886,15,22.529,15.946,2.287,0.1797,SS
3886.5,15,19.955,20.022,2.249,0.1671,SS
3887,15,20.759,13.843,2.2729,0.1758,SS
3887.5,15,27.664,9.546,2.2552,0.1944,SS
3888,15,28.081,10.311,2.253,0.2079,SS
3888.5,15,30.325,14.336,2.2331,0.1848,SS
3889,15,28.854,12.246,2.245,0.1982,SS
3889.5,15,30.495,11.736,2.2599,0.1916,SS
3890,15,31.013,11.943,2.268,0.1911,SS
3890.5,15,32.447,12.167,2.255,0.1939,SS
3891,15,35.211,12.272,2.2111,0.1819,SS
3891.5,15,50.899,7.785,2.3898,0.2021,SS
